Sequence_id	Database_id	Percentage_identity	E-value	Classification
125|DICE_READ_00248425	118817	97.42	1e-136	Bacteria; Unclassified; otu_205
126|DICE_READ_00262883	3439	94.67	7e-95	Eukaryota; stramenopiles; Bacillariophyta; Coscinodiscophyceae; Thalassiosirophycidae; Thalassiosirales; Thalassiosiraceae; Thalassiosira; otu_3947
127|DICE_READ_00262820	61189	98.46	1e-136	Bacteria; Bacteroidetes; Flavobacteria; Flavobacteriales; Flavobacteriaceae; Cellulophaga; Unclassified; otu_800
128|DICE_READ_00236625	5903	96.04	1e-130	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Brucellaceae; Unclassified; otu_2158
129|DICE_READ_00234410	143237	94.12	7e-98	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Comamonadaceae; Hydrogenophaga; Unclassified; otu_2610
130|DICE_READ_00235534	143237	94.12	7e-98	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Comamonadaceae; Hydrogenophaga; Unclassified; otu_2610
131|DICE_READ_00244983	143237	94.12	7e-98	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Comamonadaceae; Hydrogenophaga; Unclassified; otu_2610
132|DICE_READ_00266899	82233	94.01	1e-118	Bacteria; Unclassified; otu_205
133|DICE_READ_00236465	143237	93.72	4e-96	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Comamonadaceae; Hydrogenophaga; Unclassified; otu_2610
134|DICE_READ_00249973	101111	96.97	1e-95	Bacteria; Proteobacteria; Gammaproteobacteria; sulfur-oxidizing symbionts; Unclassified; otu_3394
135|DICE_READ_00238633	79767	96.76	6e-120	Bacteria; Bacteroidetes; Flavobacteria; Flavobacteriales; Flavobacteriaceae; Unclassified; otu_782
136|DICE_READ_00241264	79767	96.76	6e-120	Bacteria; Bacteroidetes; Flavobacteria; Flavobacteriales; Flavobacteriaceae; Unclassified; otu_782
137|DICE_READ_00244287	79767	96.76	6e-120	Bacteria; Bacteroidetes; Flavobacteria; Flavobacteriales; Flavobacteriaceae; Unclassified; otu_782
138|DICE_READ_00258375	128453	91.23	2e-76	Bacteria; Proteobacteria; Alphaproteobacteria; Sphingomonadales; Sphingomonadaceae; Zymomonas; otu_2533
139|DICE_READ_00245972	68830	98.62	1e-114	Bacteria; Cyanobacteria; Oscillatoriales; Arthrospira; otu_1245
140|DICE_READ_00254806	119998	98.19	9e-144	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Rhizobiaceae; Candidatus Liberibacter; otu_2240
141|DICE_READ_00255771	193866	89.18	3e-69	Bacteria; Planctomycetes; Planctomycetacia; Planctomycetales; Unclassified; otu_2068
